Protocol,Field name,Description,Type,Versions
IPv4,ip.geoip.src_asnum,Source GeoIP AS Number,Unsigned integer (32 bits),1.2.1 to 4.2.2
IPv4,ip.geoip.src_city,Source GeoIP City,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.src_country,Source GeoIP Country,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.src_country_iso,Source GeoIP ISO Two Letter Country Code,Character string,2.6.0 to 4.2.2
IPv4,ip.geoip.src_lat,Source GeoIP Latitude,Floating point (double-precision),1.2.1 to 4.2.2
IPv4,ip.geoip.src_lon,Source GeoIP Longitude,Floating point (double-precision),1.2.1 to 4.2.2
IPv4,ip.geoip.src_org,Source GeoIP AS Organization,Character string,1.2.1 to 4.2.2
IPv4,ip.geoip.src_summary,Source GeoIP,Character string,2.6.0 to 4.2.2
IPv4,ip.hdr_len,Header Length,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.host,Source or Destination Host,Character string,1.0.0 to 4.2.2
IPv4,ip.id,Identification,Unsigned integer (16 bits),1.0.0 to 4.2.2
IPv4,ip.len,Total Length,Unsigned integer (16 bits),1.0.0 to 4.2.2
IPv4,ip.nop,4 NOP in a row - a router may have removed some options,Label,1.12.0 to 4.2.2
IPv4,ip.opt.addr,IP Address,IPv4 address,1.8.0 to 4.2.2
IPv4,ip.opt.ext_sec_add_sec_info,Additional Security Info,Byte sequence,1.8.0 to 4.2.2
IPv4,ip.opt.ext_sec_add_sec_info_format_code,Additional Security Info Format Code,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.flag,Flag,Unsigned integer (8 bits),2.0.0 to 4.2.2
IPv4,ip.opt.id_number,ID Number,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.len,Length,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.len.invalid,Invalid length for option,Label,1.12.0 to 4.2.2
IPv4,ip.opt.mtu,MTU,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.ohc,Outbound Hop Count,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.originator,Originator IP Address,IPv4 address,1.8.0 to 4.2.2
IPv4,ip.opt.overflow,Overflow,Unsigned integer (8 bits),2.0.0 to 4.2.2
IPv4,ip.opt.padding,Padding,Byte sequence,1.8.0 to 4.2.2
IPv4,ip.opt.ptr,Pointer,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.ptr.before_address,Pointer points before first address,Label,1.12.0 to 4.2.2
IPv4,ip.opt.ptr.middle_address,Pointer points to middle of address,Label,1.12.0 to 4.2.2
IPv4,ip.opt.qs_func,Function,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.qs_nonce,QS Nonce,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv4,ip.opt.qs_rate,Rate,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.qs_reserved,Reserved,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv4,ip.opt.qs_ttl,QS TTL,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.qs_ttl_diff,TTL Diff,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.qs_unused,Not Used,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.ra,Router Alert,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.rhc,Return Hop Count,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.sec_cl,Classification Level,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_doe,DOE,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_flags,Protection Authority Flags,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_fti,Field Termination Indicator,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_genser,GENSER,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_nsa,NSA,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_sci,SCI,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_siop_esi,SIOP-ESI,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.sec_prot_auth_unassigned,Unassigned,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.sec_rfc791_comp,Compartments,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.sec_rfc791_hr,Handling Restrictions,Character string,1.8.0 to 4.2.2
IPv4,ip.opt.sec_rfc791_sec,Security,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.sec_rfc791_tcc,Transmission Control Code,Character string,1.8.0 to 4.2.2
IPv4,ip.opt.sid,Stream Identifier,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv4,ip.opt.time_stamp,Time stamp,Unsigned integer (32 bits),2.0.0 to 4.2.2
IPv4,ip.opt.time_stamp_addr,Address,IPv4 address,2.0.0 to 4.2.2
IPv4,ip.opt.type,Type,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.type.class,Class,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.opt.type.copy,Copy on fragmentation,Boolean,1.8.0 to 4.2.2
IPv4,ip.opt.type.number,Number,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv4,ip.proto,Protocol,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.reassembled.data,Reassembled IPv4 data,Byte sequence,1.10.0 to 4.2.2
IPv4,ip.reassembled.length,Reassembled IPv4 length,Unsigned integer (32 bits),1.4.0 to 4.2.2
IPv4,ip.reassembled_in,Reassembled IPv4 in frame,Frame number,1.0.0 to 4.2.2
IPv4,ip.rec_rt,Recorded Route,IPv4 address,1.8.0 to 4.2.2
IPv4,ip.rec_rt_host,Recorded Route Host,Character string,1.8.0 to 4.2.2
IPv4,ip.src,Source Address,IPv4 address,1.0.0 to 4.2.2
IPv4,ip.src_host,Source Host,Character string,1.0.0 to 4.2.2
IPv4,ip.src_rt,Source Route,IPv4 address,1.8.0 to 4.2.2
IPv4,ip.src_rt_host,Source Route Host,Character string,1.8.0 to 4.2.2
IPv4,ip.subopt_too_long,Suboption would go past end of option,Label,1.12.0 to 4.2.2
IPv4,ip.tos,Type of Service,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.tos.cost,Cost,Boolean,1.0.0 to 4.2.2
IPv4,ip.tos.delay,Delay,Boolean,1.0.0 to 4.2.2
IPv4,ip.tos.precedence,Precedence,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.tos.reliability,Reliability,Boolean,1.0.0 to 4.2.2
IPv4,ip.tos.throughput,Throughput,Boolean,1.0.0 to 4.2.2
IPv4,ip.ttl,Time to Live,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv4,ip.ttl.lncb,Time To Live,Label,1.12.0 to 4.2.2
IPv4,ip.ttl.too_small,Time To Live,Label,1.12.0 to 4.2.2
IPv4,ip.version,Version,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv6,ipv6.6to4_gw_ipv4,6to4 Gateway IPv4,IPv4 address,1.4.0 to 4.2.2
IPv6,ipv6.6to4_sla_id,6to4 SLA ID,Unsigned integer (16 bits),1.4.0 to 4.2.2
IPv6,ipv6.addr,Source or Destination Address,IPv6 address,1.0.0 to 4.2.2
IPv6,ipv6.bogus_ipv6_version,Bogus IP version,Label,2.0.0 to 4.2.2
IPv6,ipv6.dst,Destination Address,IPv6 address,1.0.0 to 4.2.2
IPv6,ipv6.dst_6to4_gw_ipv4,Destination 6to4 Gateway IPv4,IPv4 address,1.4.0 to 4.2.2
IPv6,ipv6.dst_6to4_sla_id,Destination 6to4 SLA ID,Unsigned integer (16 bits),1.4.0 to 4.2.2
IPv6,ipv6.dst_addr.not_multicast,Expert Info,Label,1.12.0 to 2.0.16
IPv6,ipv6.dst_embed_ipv4,Destination Embedded IPv4,IPv4 address,2.4.0 to 4.2.2
IPv6,ipv6.dst_host,Destination Host,Character string,1.0.0 to 4.2.2
IPv6,ipv6.dst_isatap_ipv4,Destination ISATAP IPv4,IPv4 address,1.4.0 to 4.2.2
IPv6,ipv6.dst_slaac_mac,Destination SLAAC MAC,Ethernet or other MAC address,3.6.0 to 4.2.2
IPv6,ipv6.dst_tc_ipv4,Destination Teredo Client IPv4,IPv4 address,1.4.0 to 4.2.2
IPv6,ipv6.dst_tc_port,Destination Teredo Port,Unsigned integer (16 bits),1.4.0 to 4.2.2
IPv6,ipv6.dst_ts_ipv4,Destination Teredo Server IPv4,IPv4 address,1.4.0 to 4.2.2
IPv6,ipv6.dstopts,Destination Options,Label,2.0.0 to 2.0.16
IPv6,ipv6.dstopts.nxt,Next Header,Unsigned integer (8 bits),2.0.0 to 2.0.16
IPv6,ipv6.embed_ipv4,Embedded IPv4,IPv4 address,2.4.0 to 4.2.2
IPv6,ipv6.embed_ipv4.u.nonzero,IPv4-Embedded IPv6 address bit 64 to 71 must be zero,Label,4.0.0 to 4.2.2
IPv6,ipv6.embed_ipv4_prefix,Embedded IPv4 Prefix,Byte sequence,4.0.0 to 4.2.2
IPv6,ipv6.embed_ipv4_suffix,Embedded IPv4 Suffix,Byte sequence,4.0.0 to 4.2.2
IPv6,ipv6.embed_ipv4_u,Embedded IPv4 u field,Byte sequence,4.0.0 to 4.2.2
IPv6,ipv6.flow,Flow Label,Unsigned integer (24 bits),1.0.0 to 4.2.2
IPv6,ipv6.fraghdr,Fragment Header,Label,2.0.0 to 2.0.16
IPv6,ipv6.fraghdr.ident,Identification,Unsigned integer (32 bits),2.0.0 to 2.0.16
IPv6,ipv6.fraghdr.more,More Fragments,Boolean,2.0.0 to 2.0.16
IPv6,ipv6.fraghdr.nxt,Next header,Unsigned integer (8 bits),2.0.0 to 2.0.16
IPv6,ipv6.fraghdr.offset,Offset,Unsigned integer (16 bits),2.0.0 to 2.0.16
IPv6,ipv6.fraghdr.reserved_bits,Reserved bits,Unsigned integer (16 bits),2.0.0 to 2.0.16
IPv6,ipv6.fraghdr.reserved_octet,Reserved octet,Unsigned integer (8 bits),2.0.0 to 2.0.16
IPv6,ipv6.fragment,IPv6 Fragment,Frame number,1.0.0 to 4.2.2
IPv6,ipv6.fragment.count,Fragment count,Unsigned integer (32 bits),1.6.0 to 4.2.2
IPv6,ipv6.fragment.error,Defragmentation error,Frame number,1.0.0 to 4.2.2
IPv6,ipv6.fragment.multipletails,Multiple tail fragments found,Boolean,1.0.0 to 4.2.2
IPv6,ipv6.fragment.overlap,Fragment overlap,Boolean,1.0.0 to 4.2.2
IPv6,ipv6.fragment.overlap.conflict,Conflicting data in fragment overlap,Boolean,1.0.0 to 4.2.2
IPv6,ipv6.fragment.toolongfragment,Fragment too long,Boolean,1.0.0 to 4.2.2
IPv6,ipv6.fragments,IPv6 Fragments,Label,1.0.0 to 4.2.2
IPv6,ipv6.geoip.asnum,Source or Destination GeoIP AS Number,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv6,ipv6.geoip.city,Source or Destination GeoIP City,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.country,Source or Destination GeoIP Country,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.country_iso,Source or Destination GeoIP ISO Two Letter Country Code,Character string,2.6.0 to 4.2.2
IPv6,ipv6.geoip.dst_asnum,Destination GeoIP AS Number,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv6,ipv6.geoip.dst_city,Destination GeoIP City,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.dst_country,Destination GeoIP Country,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.dst_country_iso,Destination GeoIP ISO Two Letter Country Code,Character string,2.6.0 to 4.2.2
IPv6,ipv6.geoip.dst_lat,Destination GeoIP Latitude,Floating point (double-precision),1.8.0 to 4.2.2
IPv6,ipv6.geoip.dst_lon,Destination GeoIP Longitude,Floating point (double-precision),1.8.0 to 4.2.2
IPv6,ipv6.geoip.dst_org,Destination GeoIP AS Organization,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.dst_summary,Destination GeoIP,Character string,2.6.0 to 4.2.2
IPv6,ipv6.geoip.lat,Source or Destination GeoIP Latitude,Floating point (double-precision),1.8.0 to 4.2.2
IPv6,ipv6.geoip.lon,Source or Destination GeoIP Longitude,Floating point (double-precision),1.8.0 to 4.2.2
IPv6,ipv6.geoip.org,Source or Destination GeoIP AS Organization,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_asnum,Source GeoIP AS Number,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_city,Source GeoIP City,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_country,Source GeoIP Country,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_country_iso,Source GeoIP ISO Two Letter Country Code,Character string,2.6.0 to 4.2.2
IPv6,ipv6.geoip.src_lat,Source GeoIP Latitude,Floating point (double-precision),1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_lon,Source GeoIP Longitude,Floating point (double-precision),1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_org,Source GeoIP AS Organization,Character string,1.8.0 to 4.2.2
IPv6,ipv6.geoip.src_summary,Source GeoIP,Character string,2.6.0 to 4.2.2
IPv6,ipv6.hlim,Hop Limit,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv6,ipv6.hopopts,Hop-by-Hop Options,Label,2.0.0 to 2.0.16
IPv6,ipv6.hopopts.not_first,Expert Info,Label,2.0.0 to 2.0.16
IPv6,ipv6.hopopts.nxt,Next Header,Unsigned integer (8 bits),2.0.0 to 2.0.16
IPv6,ipv6.host,Source or Destination Host,Character string,1.0.0 to 4.2.2
IPv6,ipv6.invalid_header,Invalid IPv6 header,Label,2.0.0 to 4.2.2
IPv6,ipv6.isatap_ipv4,ISATAP IPv4,IPv4 address,1.4.0 to 4.2.2
IPv6,ipv6.nxt,Next Header,Unsigned integer (8 bits),1.0.0 to 4.2.2
IPv6,ipv6.opt,IPv6 Option,Label,1.8.0 to 4.2.2
IPv6,ipv6.opt.calipso.checksum,Checksum,Unsigned integer (16 bits),1.8.0 to 4.2.2
IPv6,ipv6.opt.calipso.cmpt.length,Compartment Length,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv6_1,ipv6.opt.calipso.cmpt_bitmap,Compartment Bitmap,Byte sequence,1.8.0 to 4.2.2
IPv6_1,ipv6.opt.calipso.doi,CALIPSO Domain of Interpretation,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv6_1,ipv6.opt.calipso.sens_level,Sensitivity Level,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv6_1,ipv6.opt.deprecated,Option type is deprecated,Label,2.4.0 to 4.2.2
IPv6_1,ipv6.opt.dff.flag.dup,Duplicate (DUP),Boolean,2.2.0 to 4.2.2
IPv6_1,ipv6.opt.dff.flag.ret,Return (RET),Boolean,2.2.0 to 4.2.2
IPv6_1,ipv6.opt.dff.flag.rsv,Reserved,Unsigned integer (8 bits),2.2.0 to 4.2.2
IPv6_1,ipv6.opt.dff.flag.ver,Version (VER),Unsigned integer (8 bits),2.2.0 to 4.2.2
IPv6_1,ipv6.opt.dff.flags,Flags,Unsigned integer (8 bits),2.2.0 to 4.2.2
IPv6_1,ipv6.opt.dff.sequence_number,Sequence Number,Unsigned integer (16 bits),2.2.0 to 4.2.2
IPv6_1,ipv6.opt.experimental,Experimental Option,Byte sequence,1.8.0 to 4.2.2
IPv6_1,ipv6.opt.header_mismatch,Wrong options extension header for type,Label,2.4.0 to 4.2.2
IPv6_1,ipv6.opt.ilnp_nonce,ILNP Nonce,Byte sequence,2.2.0 to 4.2.2
IPv6_1,ipv6.opt.invalid_len,Invalid IPv6 option length,Label,2.2.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.opt_type,Option-Type,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.rsv,Reserved,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.flag.a,Active,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.flag.l,Loopback,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.flag.o,Overflow,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.flag.rsv,Reserved,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.flags,Flags,Unsigned integer (16 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.free_space,Free space,Byte sequence,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.invalid_nodelen,"Invalid ""NodeLen"" value: cannot be 0",Label,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.invalid_remlen,"Invalid ""RemLen"" value",Label,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.invalid_type,Mismatch between Trace Type and NodeLen,Label,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.bufoccup,Buffer Occupancy,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.csum,Checksum Complement,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.eif,Egress ID,Unsigned integer (16 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.eif_wide,Egress ID,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.hlim,Hop Limit,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.id,ID,Unsigned integer (24 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.id_wide,ID,Unsigned integer (56 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.iif,Ingress ID,Unsigned integer (16 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.iif_wide,Ingress ID,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.nsdata,Namespace Data (short),Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.nsdata_wide,Namespace Data (wide),Unsigned integer (64 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.oss.data,Data,Byte sequence,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.oss.len,Length,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.oss.scid,Schema ID,Unsigned integer (24 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.qdepth,Queue Depth,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.trdelay,Transit Delay,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.tsf,Timestamp Fraction,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.tss,Timestamp Seconds,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.node.undefined,Undefined bit,Unsigned integer (32 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.nodelen,Node Length,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.ns,Namespace ID,Unsigned integer (16 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.remlen,Remaining Length,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.rsv,Reserved,Unsigned integer (8 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type,Trace Type,Unsigned integer (24 bits),4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit0,Hop_Lim and Node ID (short),Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit1,Ingress and Egress IDs (short),Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit10,IOAM-Namespace specific data (wide),Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit11,Buffer occupancy,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit2,Timestamp seconds,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit22,Opaque State Snapshot,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit3,Timestamp fraction,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit4,Transit delay,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit5,IOAM-Namespace specific data (short),Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit6,Queue depth,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit7,Checksum complement,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit8,Hop_Lim and Node ID (wide),Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.bit9,Ingress and Egress IDs (wide),Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.rsv,Reserved,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.ioam.trace.type.undef,Undefined,Boolean,4.0.0 to 4.2.2
IPv6_1,ipv6.opt.jumbo,Payload Length,Unsigned integer (32 bits),1.8.0 to 4.2.2
IPv6_1,ipv6.opt.jumbo.fragment,Jumbo Payload option cannot be used with a fragment header,Label,2.0.0 to 4.2.2
IPv6_1,ipv6.opt.jumbo.missing,IPv6 payload length equals 0 and Hop-By-Hop present and Jumbo Payload option missing,Label,2.0.0 to 4.2.2
IPv6_1,ipv6.opt.jumbo.prohibited,When IPv6 payload length does not equal 0 a Jumbo Payload option must not be present,Label,2.0.0 to 4.2.2
IPv6_1,ipv6.opt.jumbo.truncated,Jumbo Payload option present and jumbo length < 65536,Label,2.0.0 to 4.2.2
IPv6_1,ipv6.opt.length,Length,Unsigned integer (8 bits),1.8.0 to 4.2.2
IPv6_1,ipv6.opt.lio.length,LineIDLen,Unsigned integer (8 bits),2.2.0 to 4.2.2
IPv6_1,ipv6.opt.lio.line_id,Line ID,Character string,2.2.0 to 4.2.2
